Unnamed: 0,question,type,keywords
1999,농담을 잘 하며 사람들에게 인기가 있다.,다요인검사,"가기, 불안정하여, 위해, 미루지, 동정심, 받으며, 양보, 기술, 야외체험학습, 상상력"
2000,나는 공부하다가 불안해지면 그만큼 더 노력하는 편이다.,자기조절학습검사,"사랑, 정서, 사랑, 자동차, 불편함을, 자기주장, 아닙니다, 인내심, 동작, 먼저"
2001,나는 중요하다고 생각되는 내용은 외운다.,자기조절학습검사,"발달된, 편안히, 자기주도적, 가능성, 보거나, 이해전략, 없고, 해내기, 연극, 정서적"
2002,문제가 잘 풀리지 않으면 다른 방식으로 풀어본다.,자기조절학습검사,"만들어, 시를, 봉사, 도형, 상상력, 사랑, 있어, 가설설정, 요지, 타고"
2003,다른 사람들을 이해하려고 한다. ,진로발달검사,"긴장유지, 다시, 여행, 자원활용, 규칙적, 공예, 내향적, 만지거나, 안정적, 조성하"
2004,나는 시험시간에 너무 걱정되어 문제가 잘 안 풀린다.,자기조절학습검사,"민감해, 내고, 철저한, 연산, 보다, 제스처, 평균, 방법, 능력, 성실하게"
2005,대학교수 : 대학에서 자신의 전공 학문과 관련하여 강의하고 연구하는 사람 ,진로발달검사,"다시, 깊습니다, 해냅니다, 분류하기, 관계, 생각하며, 그래프, 기분, 이해전략, 성실하게"
2006,나는 매사에 의욕이 없다.,자기조절학습검사,"흐름, 과학적, 패션, 소셜미디어, 에너지, 긍정적, 않는, 사용하기, 때문, 어울릴"
2007,내 공부방법은 효과적인 편이라고 생각한다.,자기조절학습검사,"아닙니다, 아니며, 구체적, 정서지능, 살펴볼, 패턴, 기하학적, 영화, 연산, 초인"
2008,나는 공부한 만큼 성적이 나오지 않아도 쉽게 좌절하지 않는다.,자기조절학습검사,"넘칩니다, 상황, 불편, 다양한, 소리, 구체적, 적극적, 악기연주하기, 어려움, 살펴볼"
2009,"나는 공부할 때 방해되거나 필요 없는 것들(게임기, 만화책,휴대폰 등)을 치운다.",자기조절학습검사,"집단적, 노래, 통해, 저널, 자신, 정서, 타고, 관찰, 수집, 불편"
2010,나는 어려운 공부라도 잘 해낼 자신이 있다.,자기조절학습검사,"해냅니다, 구조, 질문전략, 쇼핑, 경험하기를, 중간, 친구들, 대한, 주의, 어려움"
2011,나는 화가 나면 왜 화가 나는지 곰곰이 생각해 본다.,다중지능검사,"타고, 목표, 자기존중감, 골프, 있고, 필요, 대화, 시관환경관리, 느낄, 제시하는"
2012,나는 어떤 물건을 새롭게 꾸며서 창조하는 것을 좋아한다.,다중지능검사,"경험들, 여행, 영화, 움직여, 운동, 뚜렷한, 만지거나, 내고, 진로, 댄스"
2013,은행에서 사람들에게 돈을 빌려주거나 받는 일을 한다. ,진로발달검사,"미술, 나타나는, 자주, 사람, 배낭여행, 반응할, 약점, 자료, 기분, 음악"
2014,나는 수학이나 과학과 관련된 텔레비전 프로그램을 좋아한다.,다중지능검사,"펫케어, 설정, 인테리어, 자전거, 기분, 해주는, 성향, 기분, 규칙적, 에너지"
2015,공부가 잘 되도록 감정을 스스로 조절하려고 노력한다.,자기조절학습검사,"합니다, 연극, 양보, 그룹, 호기심, 설정, 디자인, 상태, 미술, 골프"
2016,나는 누구보다도 자신있게 할 수 있는 일이 많다. ,진로발달검사,"가려고, 그래프, 중요하게, 분류, 분류하는, 협동적, 적극적, 봉사, 다른, 제시하는"
2017,"나는 내 주위의 동물이나 식물, 자연현상에 대한 관찰력이 뛰어나다.",다중지능검사,"수학, 공부, 스노보드, 겪고, 읽기, 패션, 대한, 이해, 보다, 시각"
2018,각종 사회활동 모임에 즐거이 참여한다.,다요인검사,"얼굴표정, 정서조절, 기술, 쓰기, 글쓰기, 자기, 어떻게, 학문, 없고, 아는"
2019,내 꿈을 이루기 위한 학업계획을 세워 나가고 있다.,진로발달검사,"생각하는, 게임, 지식, 오감, 의견, 겪을, 릴레이, 친구들, 드러나지, 조각"
2020,공부가 잘되는 장소에서 공부한다.,자기조절학습검사,"편안한, 작은, 독서, 사교적, 자료, 느낄, 않는, 인테리어, 미용, 필요"
2021,나는 어떤 물건을 새롭게 꾸며서 창조하는 것을 좋아한다.,다중지능검사,"안정적, 평균, 먼저, 학습내용, 풍부해, 겪고, 반응할, 조용한, 불안정하여, 직접"
2022,각종 사회활동 모임에 즐거이 참여한다.,다요인검사,"양보, 골프, 가설설정, 학습내용, 양보, 노래하기, 요가, 분류하는, 가려고, 꼼꼼하고"
2023,어려운 사람을 보살피는 일을 한다. ,진로발달검사,"구체적, 깊게, 관심, 불편함을, 스노보드, 자주, 관계지각, 정서, 공부, 신체언어"
2024,수업에서 다루는 내용이 배울 만한 가치가 있다고 생각한다.,자기조절학습검사,"많고, 도식, 댄스, 인테리어, 공감하면서도, 믿고, 사람, 골프, 맞게, 형태"
2025,영어를 한국어로 번역하는 일을 한다. ,진로발달검사,"스포츠, 쇼핑, 글쓰기, 자신, 캠핑, 공부하기, 활용하기, 상징, 어려울, 요지"
2026,쉽게 초조해 하거나 안달하는 편이다.,다요인검사,"받으면, 보거나, 개인사를, 기민성;, 현장학습, 중간, 자기존중감, 기존, 자주, 디자인"
2027,"배우 : 영화, TV드라마의 등장인물로 출연하여 연기하는 사람 ",진로발달검사,"보입니다, 말로, 나타나는, 힘들어합니다, 사람, 적절한, 보다, 상태, 상징, 다른"
2028,예절같은 것은 별로 신경쓰지 않는다.,다요인검사,"불편, 많고, 펫케어, 제시하는, 말로, 깊게, 인테리어, 동기유발, 거부감, 중재학습"
2029,나는 공부를 안했을 때 벌어질 나쁜 결과들을 생각해 본다.,자기조절학습검사,"가던, 자주, 내고, 기존, 메타, 대처하지, 대처하지, 악기연주하기, 만화, 소리"
2030,나는 논리와 추리를 요구하는 퍼즐이 재미있다.,다중지능검사,"세계, 흐름, 노래, 범주, 중재학습, 골프, 겪고, 개인사를, 실천전략, 동물"
2031,나는 수학이나 과학과 관련된 텔레비전 프로그램을 좋아한다.,다중지능검사,"리더십, 삼단논법, 안정상, 골프, 있으며, 시간환경관리, 통해, 느낄, 그래프, 스터디"
2032,누구와 얘기하건 매우 집중해서 잘 듣는다.,자기조절학습검사,"겪고, 독서, 외국어, 사랑, 예민하고, 릴레이, 수학, 중간, 드러나지, 불안정하여"
2033,나는 텔레비전 프로그램 중에서 자연에 관한 다큐멘터리를 즐겨 본다.,다중지능검사,"대화, 목표, 사진, 합니다, 있음에도, 사람들, 안정적, 중요하게, 맞게, 해내기"
2034,공부하다가 혼동이 생기면 앞으로 돌아가 내용을 확인한다.,자기조절학습검사,"정서, 도움, 상징, 강점, 쇼핑, 댄스, 기하학적, 예민하고, 연역적, 아닙니다"
2035,가수 : 공연장이나 콘서트 무대에서 대중적인 노래를 부르는 사람 ,진로발달검사,"오감, 수학, 필요, 활동, 규칙적, 많고, 미루지, 해결하는, 비판적이거나, 중요하게"
2036,좌절감,자기조절학습검사,"말로, 불안정하여, 동정심, 자기주도적, 저널, 골프, 쓰기, 맞게, 노래, 겪을"
2037,남들과 타협하기를 싫어하는 편이다.,다요인검사,"표현할, 스터디, 배낭여행, 집단적, 안정상, 듣지만, 능력, 형태, 뚜렷한, 기억전략"
2038,공부하기 싫어질 때 부모님을 생각하며 다시 노력한다.,자기조절학습검사,"많은, 편이, 펫케어, 사람들, 오감, 자전거, 그래프, 부끄럼, 추상적, 느낄"
2039,사람들 앞에서 나의 의견을 잘 표현한다. ,진로발달검사,"가기, 연극, 도표, 중재학습, 사람들, 과학, 대처하지, 도식, 내고, 좋아하고"
2040,나는 시험 보는 중에도 나쁜 결과가 나올까 심하게 걱정된다.,자기조절학습검사,"작은, 깊게, 학문, 평균, 어울릴, 운동, 함께, 단서, 공감하면서도, 살펴볼"
2041,나는 어떤 과목에 소질이 있는지 잘 알고 있다.  ,진로발달검사,"겪을, 추리, 자기, 살펴볼, 순차적, 세계, 긴장유지, 예민하고, 추려, 자기존중감"
2042,나는 시험시간에 너무 걱정되어 문제가 잘 안 풀린다.,자기조절학습검사,"학습하기, 정서조절, 경험하기를, 스트레스, 논리적, 그래프, 유추, 시각, 즐김, 시각"
2043,나는 공부를 잘하는 편이다.,자기조절학습검사,"움직여, 릴레이, 메타, 해석하는, 실천전략, 생각, 불안정하여, 시관환경관리, 구체적, 만화"
2044,야한 사진이나 동영상을 한 번도 본 적이 없다.,자기조절학습검사,"듣지만, 느낄, 아니며, 일상생활, 없으나, 불편함이, 구조, 스포츠, 대한, 사랑"
2045,나는 컴퓨터나 전자제품 등 기계의 작동원리를 궁금해 한다.,다중지능검사,"릴레이, 에너지, 제시하는, 추리, 배낭여행, 미용, 작곡하는, 약점, 전신운동기능, 이해하기"
2046,나는 사람은 좋은데 좀 덜렁거린다는 평을 듣는다.,다요인검사,"연역적, 도표, 어려움, 말로, 편안한, 바둑, 읽기, 만지거나, 정서, 드라마"
2047,공부하는데 방해되지 않도록 TV나 컴퓨터를 끈다.,자기조절학습검사,"글쓰기, 공부하기, 관습적, 자기계발, 나타나는, 영화, 드라마, 등산, 풍부해, 대한"
2048,공부가 나에게 도움을 준다고 생각한다.,자기조절학습검사,"인식, 해주는, 보거나, 끝내지, 이론, 불안정하여, 얼굴표정, 있음에도, 경험하기를, 크기"
2049,나에게 어울리는 직업은 무엇일지 생각해 보곤 한다.  ,진로발달검사,"해냅니다, 관계지각, 뷰티, 야외자연활동, 미용, 해외여행, 적극적, 진로, 반응하는, 계획적"
2050,일을 할 때 주위에서 어지간히 소란해도 잘할 수 있다.,다요인검사,"개인사를, 연역적, 댄스, 해석하는, 반응하는, 먼저, 보거나, 독서, 생각하며, 리더십"
2051,한 가지 일에 집념이 강한 편이다.,다요인검사,"있어, 학습하기, 국내여행, 일상생활, 범주, 식물, 합니다, 자전거, 국내여행, 성향"
2052,나는 내 생각이나 감정을 상황에 맞게 잘 다스린다.,다중지능검사,"기하학적, 연역적, 상징, 초인, 친구들, 디자인, 직접, 골프, 단서, 드라마"
2053,나는 공부에 도움이 되는 좋은 문구나 말을 책상이나 벽에 붙여 놓는다.,자기조절학습검사,"공예, 안정적, 생각, 거부감, 깊습니다, 순차적, 판단하는, 작은, 해내기, 패턴"
2054,나는 음악시간을 좋아한다.,다중지능검사,"성향, 도형, 맞게, 여행, 미루지, 내향적, 수학, 상호관계, 저널, 분류하기"
2055,다른 사람의 감정을 상하게 한 적이 없다.,자기조절학습검사,"헬스, 과학, 디지털, 추려, 연역적, 뷰티, 받으면, 추려, 시각, 정서지능"
2056,내가 계획했던 목표는 항상 달성했다.,다요인검사,"분류하기, 여기는, 가능성, 수학, 항목, 듣지만, 외국어, 적극적, 바둑, 배낭여행"
2057,나는 공부를 하지 않았을 때 실망할 부모님의 모습을 떠올려 본다.,자기조절학습검사,"비언어적, 나타나는, 분류하기, 친구들, 상황, 깊습니다, 겪을, 다른, 국내여행, 드러나지"
2058,"나는 시험 볼 때 문제의 수, 종류, 배점에 따라 머릿속으로 시간을 배분해 본다.",자기조절학습검사,"집단적, 정서조절, 기민성, 상황, 친구들, 보입니다, 느낄, 평균, 반응할, 혹은"
2059,짖궂은 장난을 좋아한다.,다요인검사,"관심, 학습, 시각, 기민성;, 넘칩니다, 적응하고, 경우일, 세세한, 뷰티, 편안히"
2060,나는 공부를 게임처럼 재미있게 만드는 방법을 생각해 본다.,자기조절학습검사,"시를, 넘칩니다, 합니다, 계획적, 없으나, 생각하는, 형태, 이해, 합니다, 시관환경관리"
2061,노래를 잘한다. ,진로발달검사,"방법, 양보, 받으면, 요가, 제스처, 어울릴, 철저한, 댄스, 미용, 기민성"
2062,중요한 내용에 밑줄을 긋거나 표시하면서 공부한다.,자기조절학습검사,"창의적, 미용, 내고, 정서, 봉사, 풍부해, 범주, 정서지능, 에너지, 항목"
2063,나는 쾌활하고 떠들썩한 편이다.,다요인검사,"만화, 제시하는, 인내심, 말하기, 관계지각, 국내여행, 연역적, 항목, 힘들어합니다, 합니다"
2064,나는 음악시간을 좋아한다.,다중지능검사,"외국어, 신체, 기민성, 자기, 느낄, 풍부해, 사랑, 대화, 중재학습, 살펴볼"
2065,나는 어떤 일에 실패했을 때 다음엔 그런 일이 생기지 않도록 깊이 반성한다.,다중지능검사,"릴레이, 듣기, 저널, 믿고, 뷰티, 차트, 긴장유지, 분류, 제스처, 추론"
2066,나는 잘한다고 생각하는 일에 특기가 있는지 살펴본다.  ,진로발달검사,"연산, 발달된, 어려울, 과학적, 야외체험학습, 긍정적, 지각하는, 신체교육, 도형, 사랑"
2067,나는 어떤 일을 하기 전에 왜 내가 그 일을 해야만 하는지 알아야 한다.,다중지능검사,"학습법, 건강, 맞게, 아는, 공감하면서도, 취미생활, 그래프, 일상생활, 있으며, 운동"
2068,주변 친구들의 고민을 잘 들어준다.,진로발달검사,"내용, 동정심, 있어, 구조, 있어, 인테리어, 밴다이어그램, 가능성, 적극적, 친구들"
2069,나는 남보다 잘하는 일이 무엇일까 자주 생각한다. ,진로발달검사,"자기계발, 명랑하고, 타고, 정서조절, 말로, 바둑, 사람들, 해결하는, 자원활용, 식물"
2070,나는 다른 사람들로부터 말을 잘한다는 소리를 자주 듣는다.,다중지능검사,"읽기, 가려고, 칭찬, 안정적, 해외여행, 사교적, 쇼핑, 동기유발, 가던, 협동적"
2071,공부할 때 전체적으로 중요한 것이 무엇인지 파악해 본다.,자기조절학습검사,"말로, 적극적, 정서지능, 합니다, 기능, 창의적, 논리, 때문, 비판적이거나, 요리"
2072,나는 학교에서 배우는 내용을 생활에서도 활용할 수 있을 것이라고 생각한다.,자기조절학습검사,"느낄, 펫케어, 관계지각, 듣기, 봉사, 쓰기, 일반적, 코딩, 사고, 리더십"
2073,부정적 감정으로 힘들어도 해야 할 공부는 묵묵히 하는 편이다.,자기조절학습검사,"기분, 먼저, 도움, 힘들어합니다, 활용하기, 느낄, 관습적, 순차적, 만화, 동정심"
2074,자세히 할 부분과 그렇지 않은 부분을 생각하고 공부를 시작한다.,자기조절학습검사,"생각, 목표, 뚜렷한, 성실하게, 요지, 철저한, 의견, 성향, 없고, 뷰티"
2075,이해하지 못하는 내용은 선생님께 여쭈어 보거나 친구에게 물어본다.,자기조절학습검사,"자원활용, 체험학습, 캠핑, 강점, 함께, 신체교육, 공부하기, 질문전략, 여기는, 스트레스"
2076,모임에서 중요한 결정은 내가 하는 편이 많다. ,진로발달검사,"설정, 언어, 그룹, 자신, 풍부해, 일반적, 기능, 발달된, 사람들, 기민성;"
2077,나는 욕을 해본 적이 없다.,자기조절학습검사,"야외자연활동, 긴장유지, 진로, 일상생활, 생각, 쓰기, 실천전략, 거부감, 유추, 개인사를"
2078,남들이 인정할 정도로 매사를 잘 처리하는 편이다.,다요인검사,"발달된, 다양한, 친구들, 있으며, 많고, 의견, 이해전략, 반응할, 아는, 어려움"
2079,나는 수업시간에 잘 모르는 부분은 친구에게 물어본다.,자기조절학습검사,"자신, 상상력, 보거나, 추상적, 어려움, 조각, 시각, 다양한, 약점, 기존"
2080,옛 관습에 구애받지 말고 여성의 사회 참여를 적극 권장해야 한다.,다요인검사,"관습적, 가던, 리더십, 성향, 자주, 소셜미디어, 시관환경관리, 기술, 해결하는, 가기"
2081,나는 체계적이고 논리적인 사고를 필요로 하는 실험을 좋아한다.,다중지능검사,"지각하는, 전신운동기능, 반응할, 지각하는, 글쓰기, 보거나, 스터디, 사랑, 스터디, 소리"
2082,공부하는 내용은 이해하기 쉽도록 나만의 방법을 생각해본다.,자기조절학습검사,"직접, 표현할, 시뮬레이션, 받으며, 불편, 도움, 반응할, 관찰, 자기주장, 믿고"
2083,병원에서 환자들을 보살핀다. ,진로발달검사,"해석하는, 동작, 스노보드, 미루지, 크기, 가기, 성실하게, 활용하기, 메타, 아니며"
2084,나는 공부하다가 잠깐씩 멈춰서 내용을 이해하고 있는지 스스로 물어본다.,자기조절학습검사,"추론, 자동차, 음악, 밴다이어그램, 비판적이거나, 맡기는, 해주는, 바둑, 자연학습, 학습내용"
2085,나는 잘 기억하도록 읽어보거나 써본다.,자기조절학습검사,"집단적, 사람, 평균, 함께, 표현할, 흐름, 뷰티, 드러나지, 민감해, 흐름"
2086,나는 중요한 내용에 밑줄을 긋거나 표시하면서 공부한다.,자기조절학습검사,"칭찬, 디지털, 움직여, 동기유발, 사람들, 미술, 친구들, 목표, 미루지, 취미생활"
2087,나는 다른 어떤 곳보다 동물원이나 식물원 가기를 좋아한다.,다중지능검사,"학습, 정서조절, 자기존중감, 합니다, 분류하기, 바둑, 동기유발, 다시, 많은, 이론"
2088,일단 시작한 일은 끝을 보는 편이다.,다요인검사,"맞게, 직접, 이해전략, 사고, 많고, 전신운동기능, 양보, 경험들, 신체언어, 수집"
2089,내 장래희망과 비슷한 직업에 대해서도 관심이 많다.  ,진로발달검사,"편이, 인테리어, 듣기, 도표, 유추, 없으나, 지식, 정서적, 얼굴표정, 골프"
2090,물은 0도에서 끓는다.,자기조절학습검사,"인테리어, 내향적, 야외자연활동, 상상력, 긴장유지, 오감, 뷰티, 에너지, 신체언어, 먼저"
2091,좋은 집 한 채보다 좋은 시 한편이 더 가치가 있다.,다요인검사,"설정, 헬스, 해냅니다, 야외자연활동, 자기, 편안한, 스포츠, 헬스, 시뮬레이션, 듣지만"
2092,장난감 조립(혹은 인형 만들기)을 잘 한다. ,진로발달검사,"사고, 혹은, 개인사를, 봉사, 보다, 내고, 디지털, 운동, 다양한, 해냅니다"
2093,"나는 공부하다가 모르는 내용이 있으면 자습서, 사전, 인터넷 등을 찾아본다.",자기조절학습검사,"활용하기, 유추, 생각하는, 사고, 비판적이거나, 시간환경관리, 시뮬레이션, 구체적, 여기는, 있으며"
2094,나는 수학이나 과학과 관련된 텔레비전 프로그램을 좋아한다.,다중지능검사,"가려고, 합니다, 자기주도적, 기분, 스피드, 곡선, 크기, 자신, 코딩, 연산"
2095,나는 연습을 많이 하면 음악을 잘 할 수 있을 것 같다.,다중지능검사,"스터디, 중요하게, 디지털, 자원활용, 이해전략, 펫케어, 동정심, 겪을, 부끄럼, 체험학습"
2096,내 꿈을 이루기 위한 학업계획을 세워 나가고 있다.,진로발달검사,"학습내용, 여기는, 있음에도, 없고, 관찰, 만화, 분류하는, 귀납적, 자신, 도움"
2097,나는 다른 사람과의 약속을 어긴 적이 없다.,자기조절학습검사,"보거나, 발달된, 생각, 보거나, 미술, 맡기는, 리더십, 세계, 중재학습, 운동"
2098,나는 마음속에 떠오르는 생각을 그림으로 잘 표현할 수 있다.,다중지능검사,"그래프, 언어, 도형, 말로, 탐색하는, 가기, 그림, 해석, 활용하기, 범주"
2099,나는 공부하다가 짜증이 나더라도 그 기분에 휩쓸리지 않으려 한다.,자기조절학습검사,"좋아하고, 사람들, 중간, 야외자연활동, 풍부해, 어려움, 가치, 대처하지, 생각하며, 분류하기"
2100,"연극이나 음악, 오페라 등에 대하여 글을 쓰는 일이 재미있을 것 같다.",다요인검사,"설정, 많고, 말하기, 펫케어, 유형화, 없으나, 신체, 축구, 풍부해, 성향"
2101,제조업보다는 서비스업이 마음에 든다.,다요인검사,"해내기, 해석, 학습법, 미술, 내향적, 학습하기, 함께, 편이, 가기, 영화"
2102,나는 남보다 잘하는 일이 무엇일까 자주 생각한다. ,진로발달검사,"요리, 계획적, 상호관계, 상징, 읽기, 풍부해, 보거나, 미용, 집단적, 양보"
2103,나는 노는 것을 그만두고 공부를 시작하는 것이 어렵다.,자기조절학습검사,"맞게, 과학적, 경험하기를, 얼굴표정, 펫케어, 협동적, 도형, 취미생활, 규칙적, 겪을"
2104,책을 읽을 때 핵심적인 내용을 찾아 본다.,자기조절학습검사,"시를, 곡선, 연극, 영화, 겪을, 규칙적, 기민성;, 불편, 디지털, 실천전략"
2105,남들이 이유없이 나를 무시하거나 피하는 일이 있다.,다요인검사,"관찰, 외국어, 양보, 탐색하는, 신체교육, 해석하는, 기술, 물리적, 운동, 가능성"
2106,감상적인 음악보다 신나는 음악이 좋다.,다요인검사,"경험들, 건강, 소리, 전신운동기능, 숫자, 다른, 상태, 패션, 자기계발, 드러나지"
2107,갑자기 많은 사람들의 주목을 받으면 당황한다.,다요인검사,"동작, 정서조절, 정서, 자기주장, 혹은, 사람, 쓰기, 받아들이기, 상태, 숫자"
2108,내가 한 일에 대해서 자주 후회를 한다.,다요인검사,"받으면, 영화, 미루지, 소셜미디어, 다른, 숫자, 맞게, 자신, 증명, 소셜미디어"
2109,"식사, 수면, 운동 등을 비교적 규칙적으로 하는 편이다.",자기조절학습검사,"아니며, 세세한, 도형, 발달된, 공부하기, 가설설정, 맡기는, 관습적, 자기계발, 건강"
2110,나는 직업에 관한 글이나 영상을 접하면 유심히 본다.  ,진로발달검사,"능력, 친구들, 필요, 능력, 제스처, 살펴볼, 건강, 편이, 헬스, 듣기"
2111,공부가 잘 되는 시간은 비워놓고 그 시간에는 주로 공부를 한다.,자기조절학습검사,"조용한, 그래프, 설정, 편안한, 이해전략, 사진, 신체교육, 넘칩니다, 릴레이, 편이"
2112,나는 공부할 때 전체적으로 중요한 것이 무엇인지 파악해 본다.,자기조절학습검사,"순차적, 예민하고, 경우일, 신체교육, 디지털, 경험하기를, 집단적, 움직여, 활용하기, 불안정하여"
2113,나는 모르는 사람 앞에서도 이야기를 잘 할 수 있다.,다중지능검사,"건강, 경우일, 배낭여행, 작은, 리더십, 가능성, 긍정적, 혹은, 동물, 여행"
2114,나는 중요한 내용에 밑줄을 긋거나 표시하면서 공부한다.,자기조절학습검사,"아닙니다, 편안한, 바둑, 받아들이기, 현장학습, 인내심, 분류하는, 동작, 해외여행, 노래하기"
2115,아이들에게 재미있는 이야기를 해준다. ,진로발달검사,"시각, 자전거, 언어, 작은, 논리, 배낭여행, 음악, 쓰기, 받으면, 표현할"
2116,물리학자 : 자연현상을 관찰·실험하여 물리학의 원리·기법을 연구·개발하는 사람,진로발달검사,"만화, 타고, 대처하지, 공부하기, 좋아합니다, 수집, 학습, 적절한, 대한, 실천전략"
2117,부자들 돈은 좀 뺏어도 괜찮다고 생각한다.,다요인검사,"내향적, 학습법, 제스처, 상황, 위해, 뚜렷한, 안정적, 크기, 가려고, 제스처"
2118,나는 내가 어떤 모습일 때 가장 행복할지 떠올려 보곤 한다.  ,진로발달검사,"디자인, 상상력, 해외여행, 해결할, 흐름, 활동, 민감해, 여행, 만들어, 나타나는"
2119,나는 몸을 많이 움직이는 신체활동이나 율동을 좋아한다.,다중지능검사,"내고, 협동적, 활동, 유형화, 아는, 지각하는, 기하학적, 배낭여행, 상상력, 코딩"
2120,대학교수 : 대학에서 자신의 전공 학문과 관련하여 강의하고 연구하는 사람 ,진로발달검사,"일상생활, 대처하지, 공부하기, 자기주도적, 없고, 맞게, 상상력, 편이, 실천전략, 공예"
2121,공부하고 있는 내용들을 이해하고 있는지 확인해본다.,자기조절학습검사,"정서조절, 건강, 세세한, 소셜미디어, 에너지, 탐색하는, 가설설정, 판단하는, 캠핑, 혹은"
2122,나는 나 자신의 장점(좋은 점)과 단점(나쁜 점)을 잘 알고 있다.,다중지능검사,"사용하기, 여행, 추론, 듣지만, 요가, 상호관계, 증명, 독서, 다른, 배낭여행"
2123,나는 공부하기 싫어질 때 미래를 생각하며 정신을 차리려고 노력한다.,자기조절학습검사,"규칙적, 동정심, 유추, 성실하게, 지각하는, 공감하면서도, 주의, 즐김, 세세한, 있으며"
2124,나는 성적이 실망스럽더라도 곧 털고 일어나 공부하는 편이다.,자기조절학습검사,"상황, 자기주도적, 정서조절, 분류하는, 내고, 대한, 자전거, 자기주장, 어울릴, 분류하기"
2125,공부가 어려워 짜증이 나면 곧 잘 포기해 버린다.,자기조절학습검사,"작곡하는, 있음에도, 민감해, 넘칩니다, 인식, 어려울, 상상력, 기민성, 활동, 댄스"
2126,나는 어떤 음악을 들으면 그 곡의 빠르기나 음의 높낮이를 알 수 있다.,다중지능검사,"시를, 구조, 형태, 해결하는, 의견, 개인사를, 사람들, 자료, 내향적, 자원활용"
2127,딸은 엄마보다 나이가 많다.,자기조절학습검사,"상황, 사진, 단서, 건강, 조각, 헬스, 깊습니다, 학문, 비언어적, 지각하는"
2128,나는 어떤 과목보다도 수학이나 과학을 잘 한다.,다중지능검사,"안정적, 대한, 철저한, 합니다, 전신운동기능, 안정상, 필요, 기술, 어려움, 목표"
2129,나무로 가구를 만든다.,진로발달검사,"독서, 미용, 수학적, 긴장유지, 적극적, 추상적, 해주는, 항목, 가설설정, 신체언어"
2130,실험을 통해 새로운 사실을 밝혀낸다. ,진로발달검사,"동정심, 학습, 관심, 때문, 추론, 공부하기, 흐름, 아닙니다, 공부하기, 야외자연활동"
2131,나는 친구들의 얼굴만 봐도 기분이 어떠한지 알 수 있다.,다중지능검사,"도형, 강점, 서핑, 가설설정, 서핑, 밴다이어그램, 시를, 해결할, 그림, 경험하기를"
2132,나는 중요한 내용에 밑줄을 긋거나 표시하면서 공부한다.,자기조절학습검사,"가치, 긍정적, 서핑, 형태, 활용하기, 질문전략, 명랑하고, 보거나, 인테리어, 타고"
2133,공부한 시간에 대해 스스로 보상한다.,자기조절학습검사,"살펴볼, 뚜렷한, 가치, 아는, 기하학적, 스노보드, 다시, 적응하고, 스트레스, 공부하기"
2134,자살시도를 한 적이 있다.,다요인검사,"축구, 시간환경관리, 성향, 노래, 공부, 시관환경관리, 그래프, 도식, 다른, 도식"
2135,작곡가 : 음악을 연주하고 감상하기 위한 악보를 만드는 사람 ,진로발달검사,"정서적, 유추, 읽기, 자전거, 소셜미디어, 생각, 서핑, 악기연주하기, 그림, 오감"
2136,나는 다른 사람들로부터 말을 잘한다는 소리를 자주 듣는다.,다중지능검사,"상징, 의견, 기술, 과학, 목표, 소리, 나타나는, 읽기, 비언어적, 칭찬"
2137,나는 공부가 어려워 짜증이 나면 포기해 버린다.,자기조절학습검사,"그림, 철저한, 대한, 에너지, 사용하기, 자기존중감, 긴장유지, 철저한, 안정적, 일상생활"
2138,나는 식물을 키우거나 관찰하는 것을 좋아한다.,다중지능검사,"활용하기, 바둑, 창의적, 스포츠, 사람, 음악, 함께, 시간환경관리, 도움, 체험학습"
2139,나는 몸을 많이 움직이는 신체활동이나 율동을 좋아한다.,다중지능검사,"중재학습, 제시하는, 디자인, 스노보드, 예민하고, 요가, 요지, 탐색하는, 안온하게, 취미생활"
2140,나에게 어울리는 직업은 무엇일지 생각해 보곤 한다.  ,진로발달검사,"있으며, 캠핑, 구조, 민감해, 아닌지, 사용하기, 보입니다, 주의, 언어, 있을"
2141,나는 체육시간을 좋아한다.,다중지능검사,"사랑, 세세한, 정서, 생각하는, 기억전략, 편안히, 초인, 국내여행, 때문, 내용"
2142,시험을 볼 때 너무 긴장해서 아는 것도 제대로 쓰지 못할 때가 있다.,자기조절학습검사,"드라마, 뷰티, 성실하게, 해석, 건강, 어려움, 함께, 항목, 비언어적, 작곡하는"
2143,계획에 따라 일을 잘 한다. ,진로발달검사,"어떻게, 언어, 능력, 정서적, 사교적, 논리, 성실하게, 지식, 않는, 해석"
2144,나는 텔레비전 프로그램 중에서 자연에 관한 다큐멘터리를 즐겨 본다.,다중지능검사,"도형, 기민성, 공감하면서도, 건강, 사진, 좋아합니다, 적극적, 필요, 유형화, 스터디"
2145,한 가지 일에 몰두하기 힘들다.,자기조절학습검사,"도움, 일상생활, 내용, 설정, 연산, 명랑하고, 듣지만, 이론, 신체교육, 반응하는"
2146,"나는 한 발로 서기, 평균대 서기와 같은 것을 할 때 균형을 잘 잡는다.",다중지능검사,"진로, 국내여행, 주의, 불편, 항목, 내향적, 노래하기, 현실적, 양보, 수집"
2147,나는 쾌활하고 떠들썩한 편이다.,다요인검사,"도표, 요리, 사용하기, 공부하기, 좋아합니다, 구조, 아닌지, 중요하게, 도형, 탐색하는"
